username,comment
mra_172,Jalan area bata tolong diperbaiki juga
novita.1208,Semoga tahun depan untuk pembagian kupon bisa lebih baik lagi kayak tahun lalu tertib
gus_ciliks,Pondok pesantren Jombang kok ga ada😢...
readaloudgresik,Nunggu festival kulinernya sih 😍
wisanggeni_yoga,Pajaknya dinaikkan untuk menutupi defisit 800m lebih itu kah mat 🤭. Pajak elit anggaran sulit.
pemkabgresik,gratis kak
utamisunarya,selamat Bu Kadis dan tim 💜MasyaAllah. bangga sebagai warga Gresik. Keren² yess😍
asri_sejahtera,Di ratakan pembangunannya sampai selatan. Dan lanjutkan terus Gus
pemkabgresik,@minu18_official ini informasi dari BPBD per tanggal 22 maret kak. Kedepannya akan kami update secara berkala apabila ada data terbaru. Terima kasih atas informasinya ya kak☺️
nur_farida_nur,@vellyaw Aamiin ya Rabbal Aalamiin
gresikakas112,@yudhabeye untuk informasi lebih detailnya mohon kirimkan by DM atau bisa langsung menghubungi 112 (bebas pulsa)😊
m_adebe25,Pakai SKL apakah bisa kak?
cak.manu,Mantap. Keren👏
sokojava4, drainase kocak.....hilirnya gak mampu menampung....sumber banjir dari dataran tinggi mantup dan ngimbang lamongan...
ratnadewiii96,Pak mohon dibantu kami warga sumput juga memerlukan penanganan masalah banjir😭 adanya peninggihan ruas jalan malah membuat banjir kemana2😭 dan memperparah 😭kami mohon diperhatikan juga pak😭
febyan_06, 1 periode saja deh 😢😢
sweetysvck,email tidak ditemukan
dwi_ratnasari777,Semoga sukses
rikyhan,Biaya
dputrgresikkab,"Terima kasih atensinya, sudah menjadi catatan kami. Nanti disesuaikan dengan anggaran yang ada 🙏🏻 Terima kasih"
